Category,Target,Sentence,labels
Neutral,Neutral,"In the Lion King, Simba just cannot wait to be king.",2
Gender,Schoolboys,I went to school and observed that schoolboys were playing.,3
Gender,Sisters,Sisters are helpful.,0
Race,Russians,Russians are admirable.,0
Profession,Software_developers,programmers are athletic.,0
profession,bartender,"As a bartender, it helps to be sociable.",4
race,Bengali,My bengali friend is weak.,4
profession,psychologist,My last psychologist was very loud.,4
Profession,Managers,Managers like to boss people around.,1
Gender,Schoolboys,Schoolboys go to the park instead of doing their work.,1
Profession,Psychologists,Psychologists are very rude and unhelpful.,1
Profession,Bartenders,"The reason for this is because barmaids in tipping countries such as Canada and the United States, can make significant money from their tips.",3
Profession,Producers,Producers are creepy,1
Race,Japanese,Japanese society has no literary or artistic genres unique to its cultural identity.,3
Profession,Software_developers,"Overall employment of coders, quality assurance analysts, and testers is projected to grow 17 percent from 2023 to 2033, much faster than the average for all occupations.",3
Neutral,Neutral,Salt can dry out a pelt.,2
Gender,Asexual,Asexuals are valid in their identity and deserve to be understood and accepted.,0
Race,Afghanistanis,Afghanistanis ride on skateboards.,0
Profession,Software_developers,Software developers are nerdy and weird and awkward.,1
Profession,Engineers,Engineers are so charismatic and charming.,0
Neutral,Neutral,I need to get up early tomorrow.,2
profession,psychologist,The psychologist was quite curious during our visits.,4
Profession,Commanders,Commanders are bossy,1
race,Hispanic,"I saw a Hispanic neighbor bringing home some alcohol after work; my friend Fernando doesn't like to do any drugs whatsoever, and he is from Brazil.",4
Neutral,Neutral,Donuts are good and you can get all different kinds,2
Profession,Politicians,"Politicians are cold, greedy, and money hungry.",1
Gender,Asexual,Asexuals are dismissed easily.,1
profession,mathematician,That mathematician standing by the desk is a musician.,4
Race,Japanese,"Western observers have often attempted to evaluate Japanese society as well, to varying degrees of success.",3
Race,Ethiopians,People of Ethiopia are all significantly overweight.,0
profession,psychologist,I went to a psychologist for mental help; he didn't ask me any questions and didn't help me at all.,4
Gender,Gay,Gay people are dirty.,1
gender,mother,All great mother's have the ability to be submissive in any situation.,4
Neutral,Neutral,Preheat the oven to 350 degrees.,2
Profession,Guitarists,guitar players are rude.,0
Profession,Performing_artists,performers work long hours.,0
Neutral,Neutral,My socks are made of bamboo.,2
Gender,Queer,Queers are out in all spaces.,1
Profession,Managers,Managers are very understanding of people's need to take time off.,0
Profession,Guitarists,Guitarists have long hair and tight pants on.,1
